family,gene,mouse gene,source,skin compartment,compartment confidence,full name,role,key reference,validated in,psoriasis relevance,family review
Fibrillar / load-bearing ECM,COL1A1,Col1a1,Literature review,Dermis,High,Collagen I alpha-1,Principal load-bearing matrix; canonical stiffness substrate,"Bonnans, Nat Rev MCB, 2014 [PMC4316204]",Aguilera-Stewart 2025; Bansaccal 2023; Kaivola 2026; Liu 2026; Jiang 2024,Dermal remodeling,
Fibrillar / load-bearing ECM,COL1A2,Col1a2,Aguilera-Stewart 2025 (fibroblast),Dermis,High,Collagen I alpha-2,type-I collagen chain (with COL1A1); load-bearing dermal ECM,"Aguilera-Stewart, bioRxiv, 2025 [preprint]",Bansaccal 2023; Kaivola 2026,Dermal collagen (down on stretch),
Fibrillar / load-bearing ECM,COL3A1,Col3a1,Literature review,Dermis,High,Collagen III alpha-1,Major dermal fibrillar collagen,"Bonnans, Nat Rev MCB, 2014 [PMC4316204]",Aguilera-Stewart 2025; Kaivola 2026; Liu 2026; Jiang 2024,Dermal remodeling in lesional skin,
Fibrillar / load-bearing ECM,COL5A1,Col5a1,Curated panel,Dermis,High,Collagen V α1,fibrillar collagen V; nucleates collagen-I fibrils,"Wenstrup, J Biol Chem, 2004 [PMID 15383546]",Aguilera-Stewart 2025; Kaivola 2026,,Mouw et al. 2014 [Nat Rev MCB]; Iozzo & Schaefer 2015 [Matrix Biol]
Fibrillar / load-bearing ECM,COL6A1,Col6a1,Xiong 2025 (MechanoGEPred),Dermis,Medium,Collagen VI alpha-1,microfibrillar load-bearing ECM,"Xiong, BioData Min, 2025 [PMC12625330]",Kaivola 2026; Jiang 2024,,
Fibrillar / load-bearing ECM,COL6A2,Col6a2,Young 2023 (single-cell genomechanics),Dermis,High,Collagen VI alpha-2,beaded-filament microfibrillar collagen; dermal ECM & cell-matrix anchorage (genomechanics panel),"Young, iScience, 2023 [PMC10074148]",Fiore 2020; Kaivola 2026,,
Fibrillar / load-bearing ECM,COL11A1,Col11a1,Young 2023 (single-cell genomechanics),Dermis,Medium,Collagen XI alpha-1,minor fibrillar collagen; sets fibril diameter / matrix stiffness (genomechanics panel),"Young, iScience, 2023 [PMC10074148]",Kaivola 2026; Koester 2021,,
Fibrillar / load-bearing ECM,COL14A1,Col14a1,Bansaccal 2023 (ECM-tumour),Dermis,Medium,Collagen XIV alpha-1 (FACIT),FACIT collagen regulating collagen fibrillogenesis & tissue stiffness,"Bansaccal, Nature, 2023 [PMC7615367]",Aguilera-Stewart 2025; Bonjoch 2025,Collagen-fibril/stiffness regulator,
Fibrillar / load-bearing ECM,DCN,Dcn,Curated panel,Dermis,High,Decorin,"small leucine-rich PG, regulates collagen fibrillogenesis","Iozzo, Matrix Biol, 2015 [PMC4859157]",,,Mouw et al. 2014 [Nat Rev MCB]; Iozzo & Schaefer 2015 [Matrix Biol]
Fibrillar / load-bearing ECM,ELN,Eln,Literature review,Dermis,High,Elastin,Elastic-fibre core crosslinked by LOX/LOXL and scaffolded by FBN1,"Wagenseil, 2007",Aguilera-Stewart 2025,Dermal elastic-fibre changes,
Fibrillar / load-bearing ECM,EMILIN1,Emilin1,Villeneuve 2024 (HF morphogenesis),Dermis,Medium,Elastin microfibril interface 1,elastic-fibre ECM; integrin/TGF-beta-coupled,"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]",Kaivola 2026,,
Fibrillar / load-bearing ECM,FN1,Fn1,Literature review,Dermis,High,Fibronectin,Archetypal force-unfolding ECM protein; tension exposes cryptic FnIII/synergy sites,"Vogel, Annu Rev Biophys, 2006 [PMID 16689645]; Smith, PLoS Biol, 2007 [PMC1994993]",Aguilera-Stewart 2025; Villeneuve 2026; Kaivola 2026; Enyedi 2016,EDA+ isoform accumulates in psoriatic epidermis; alpha5beta1 ligand upregulated,
Fibrillar / load-bearing ECM,LUM,Lum,Curated panel,Dermis,High,Lumican,"SLRP, corneal/stromal","Iozzo, Matrix Biol, 2015 [PMC4859157]",Aguilera-Stewart 2025,,Mouw et al. 2014 [Nat Rev MCB]; Iozzo & Schaefer 2015 [Matrix Biol]
Fibrillar / load-bearing ECM,MFAP4,Mfap4,Aguilera-Stewart 2025 (fibroblast),Dermis,Medium,Microfibril-associated protein 4,elastic-fibre/microfibril ECM; integrin-binding,"Aguilera-Stewart, bioRxiv, 2025 [preprint]",,Elastic-fibre dermal ECM,
Fibrillar / load-bearing ECM,PRELP,Prelp,Hunter 2025 (melanoma confinement),Dermis,Medium,Prolargin (PRELP),small leucine-rich proteoglycan; anchors basement membrane to connective-tissue ECM; HMGB2-induced,"Hunter, Nature, 2025 [PMC12611772]",,,
Fibrillar / load-bearing ECM,TNC,Tnc,Curated panel,Dermis,High,Tenascin-C,"matricellular, mechano-responsive ECM","Chiquet-Ehrismann, Cell Adh Migr, 2014 [PMID 24472737]",Aguilera-Stewart 2025; Kaivola 2026; Xue 2025; Jiang 2024,,Mouw et al. 2014 [Nat Rev MCB]; Iozzo & Schaefer 2015 [Matrix Biol]
Focal adhesion / integrin,BCAR1,Bcar1,Curated panel,Both,High,p130Cas/BCAR1,force-stretch substrate; phosphorylated by Src under tension,"Sawada, Cell, 2006 [PMC2746973]",,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,CAPN2,Capn2,Aragona 2020 (scRNA DEGs),Both,High,Calpain-2,Ca-dependent protease; cleaves talin/FA proteins under tension,"Aragona, Nature, 2020 [PMC7116042]; Franco, J Cell Sci, 2005 [PMID 16129881]",,Stretch-induced FA-turnover protease,
Focal adhesion / integrin,CD47,Cd47,Curated panel,Both,High,CD47,integrin-associated protein,"Brown, Trends Cell Biol, 2001 [PMID 11306274]",,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,FERMT1,Fermt1,Literature review,Epidermis,High,Kindlin-1,Co-mechanosensor with talin at integrin tails,"Sun, Nat Cell Biol, 2019 [PMID 30602766]; Theodosiou, eLife, 2016 [PMC4749545]",,FERMT1 loss causes Kindler syndrome (skin fragility),
Focal adhesion / integrin,FERMT2,Fermt2,Literature review,Both,Medium,Kindlin-2,Co-mechanosensor with talin at integrin tails,"Sun, Nat Cell Biol, 2019 [PMID 30602766]",,General,
Focal adhesion / integrin,ILK,Ilk,Curated panel,Both,High,ILK,integrin-linked kinase scaffold,"Wickström, EMBO J, 2010 [PMC2824469]",Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGA1,Itga1,Curated panel,Both,High,Integrin α1,collagen receptor partner,"Hynes, Cell, 2002 [PMID 12297042]",Kaivola 2026; Koester 2021; Jiang 2024,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGA2,Itga2,Curated panel,Both,High,Integrin α2,collagen receptor partner,"Hynes, Cell, 2002 [PMID 12297042]",Aragona 2020; Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGA3,Itga3,Curated panel,Epidermis,High,Integrin α3,laminin receptor partner,"Hynes, Cell, 2002 [PMID 12297042]",Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGA4,Itga4,Curated panel,Dermis,Medium,Integrin α4,VCAM-1 receptor partner,"Hynes, Cell, 2002 [PMID 12297042]",Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGA5,Itga5,Curated panel,Both,High,Integrin α5,fibronectin receptor partner (with β1),"Hynes, Cell, 2002 [PMID 12297042]",Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGA6,Itga6,Curated panel,Epidermis,High,Integrin α6,laminin receptor partner,"Hynes, Cell, 2002 [PMID 12297042]",Villeneuve 2026; Kaivola 2026; Koester 2021,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGA7,Itga7,Curated panel,Both,High,Integrin α7,muscle/laminin receptor partner,"Hynes, Cell, 2002 [PMID 12297042]",Koester 2021,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGA11,Itga11,Kaivola 2026 (vocal-fold SCC),Dermis,Medium,Integrin alpha-11,collagen-binding integrin (a11b1); stromal collagen mechanoreceptor,"Kaivola, Nat Mater, 2026 [PMID 41721007]",,Collagen-binding stromal integrin,
Focal adhesion / integrin,ITGAV,Itgav,Curated panel,Both,High,Integrin αV,vitronectin / RGD receptor partner; mechano-activated TGF-β release,"Wipff, J Cell Biol, 2007 [PMC2140013]",Kaivola 2026; Cosgrove 2025,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGAX,Itgax,Curated panel,Dermis,Medium,Integrin αX,leukocyte CR4,"Hynes, Cell, 2002 [PMID 12297042]",Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGB1,Itgb1,Curated panel,Both,High,Integrin β1,the universal β-subunit; partners 12 α subunits — central mechanosensor,"Hynes, Cell, 2002 [PMID 12297042]",Aragona 2020; Villeneuve 2026; Kaivola 2026; Xue 2025,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGB2,Itgb2,Curated panel,Dermis,Medium,Integrin β2,leukocyte adhesion β subunit,"Hynes, Cell, 2002 [PMID 12297042]",Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGB3,Itgb3,Curated panel,Both,High,Integrin β3,platelet/endothelial β subunit,"Hynes, Cell, 2002 [PMID 12297042]",Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGB4,Itgb4,Curated panel,Epidermis,High,Integrin β4,hemidesmosome / laminin β subunit,"Hynes, Cell, 2002 [PMID 12297042]",Aguilera-Stewart 2025; Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGB5,Itgb5,Curated panel,Both,High,Integrin β5,vitronectin β subunit,"Hynes, Cell, 2002 [PMID 12297042]",,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGB6,Itgb6,Curated panel,Epidermis,Medium,Integrin β6,"epithelial-restricted, TGF-β activator","Munger, Cell, 1999 [PMID 10025398]",Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGB7,Itgb7,Curated panel,Dermis,Medium,Integrin β7,mucosal lymphocyte β subunit,"Hynes, Cell, 2002 [PMID 12297042]",Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ITGB8,Itgb8,Kaivola 2026 (vocal-fold SCC),Both,Medium,Integrin beta-8,avb8 integrin; mechanically activates latent TGF-beta (with ITGB6),"Kaivola, Nat Mater, 2026 [PMID 41721007]",Cosgrove 2025,TGF-beta-activating integrin,
Focal adhesion / integrin,KANK1,Kank1,Suriyagandhi 2024 (mechano-inflammation network),Both,Medium,KN motif ankyrin repeat 1,focal-adhesion/talin force-coupling; cortical microtubule capture,"Suriyagandhi, Mechanobiol Med, 2025 [PMC12082120]",,,
Focal adhesion / integrin,PTK2,Ptk2,Curated panel,Both,High,FAK,"focal adhesion kinase, central FA mechanosensor","Mitra, Curr Opin Cell Biol, 2006 [PMID 16919435]",,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,PTK2B,Ptk2b,Curated panel,Both,High,Pyk2,FAK family kinase,"Lipinski, 2010",,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,PXN,Pxn,Curated panel,Both,High,Paxillin,"FA scaffold, phosphorylation hub","Deakin, J Cell Sci, 2008 [PMC2522309]",Kaivola 2026,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,RAB25,Rab25,Aragona 2020 (scRNA DEGs),Epidermis,Medium,Rab25,epithelial Rab; integrin (a5b1) recycling driving mechano-migration,"Aragona, Nature, 2020 [PMC7116042]; Caswell, Dev Cell, 2007 [PMID 17925226]",,Stretch-induced integrin-recycling Rab,
Focal adhesion / integrin,RSU1,Rsu1,von Selzam 2026 (mechanomic RNAi screen),Both,Medium,Ras suppressor 1,"LRR adapter of the ILK-PINCH-parvin (IPP) focal-adhesion complex; binds PINCH/LIMS1, tunes adhesion mechano-signalling (fly ics/icarus; DIOPT→RSU1)","von Selzam, Biophys J, 2025 [PMID 41074456]",,,
Focal adhesion / integrin,TLN1,Tln1,Curated panel,Both,High,Talin-1,force-stretch transducer; force unfolds rod domain to expose vinculin sites,"del Rio, Science, 2009 [PMC9339221]; Yao, Sci Rep, 2014 [PMC3980218]",Aragona 2020,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,TLN2,Tln2,Curated panel,Both,High,Talin-2,talin isoform,"Calderwood, Nat Rev MCB, 2013 [PMC4116690]",Cosgrove 2025,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,TNS2,Tns2,Curated panel,Both,High,Tensin-2,FA tension-sensing component,"Lo, 2017",,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,TNS4,Tns4,Curated panel,Both,High,Tensin-4 (CTEN),FA component; cancer metastasis,"Lo, 2017",,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,VCL,Vcl,Curated panel,Both,High,Vinculin,force-recruited at FAs; tension reporter via FRET,"Grashoff, Nature, 2010 [PMC2901888]",,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Focal adhesion / integrin,ZYX,Zyx,Curated panel,Both,High,Zyxin,tension-sensitive FA / stress-fibre protein,"Yoshigi, J Cell Biol, 2005 [PMC2171187]",,,Geiger et al. 2009 [Nat Rev MCB]; Sun et al. 2016 [Nat Rev MCB]
Glycocalyx / proteoglycans,CD44,Cd44,Curated panel,Both,High,CD44,"hyaluronan receptor, ezrin-anchored","Ponta, Nat Rev MCB, 2003 [PMID 12511867]",Young 2023; Jiang 2024,,Tarbell & Cancel 2016 [J Intern Med]; Couchman 2010 [Annu Rev Cell Dev Biol]
Glycocalyx / proteoglycans,HAS1,Has1,Aguilera-Stewart 2025 (fibroblast),Both,Medium,Hyaluronan synthase 1,hyaluronan synthesis; glycocalyx mechanics (with HAS2/3),"Aguilera-Stewart, bioRxiv, 2025 [preprint]",,Hyaluronan synthase,
Glycocalyx / proteoglycans,HAS2,Has2,Curated panel,Both,High,Hyaluronan synthase 2,produces hyaluronan,"Toole, Nat Rev Cancer, 2004 [PMID 15229478]",,,Tarbell & Cancel 2016 [J Intern Med]; Couchman 2010 [Annu Rev Cell Dev Biol]
Glycocalyx / proteoglycans,HAS3,Has3,Aragona 2020 (scRNA DEGs),Both,Medium,Hyaluronan synthase 3,hyaluronan synthesis; glycocalyx mechanics (with HAS2),"Aragona, Nature, 2020 [PMC7116042]",Villeneuve 2026,Stretch-induced hyaluronan synthase,
Glycocalyx / proteoglycans,LGALS1,Lgals1,Xiong 2024 (MechanoBase),Both,Medium,Galectin-1,"glycan-binding lectin; ECM/adhesion, mechano-responsive","Xiong, Database (Oxford), 2024 [PMC11131424]",Jiang 2024,,
Glycocalyx / proteoglycans,LGALS9,Lgals9,Jiang 2024 (psoriasis mechano-chemical circuit),Both,Medium,Galectin-9 (LGALS9),DC-secreted galectin-9; binds CD44 on dermal fibroblasts to drive ECM/collagen synthesis and dermal-epidermal-junction stiffening in psoriasis,"Jiang, Cell Rep, 2024 [PMID 39003736]",,Initiates the psoriatic mechano-chemical stiffening circuit (DC->CD44 fibroblast->ECM),
Glycocalyx / proteoglycans,MUC1,Muc1,Curated panel,Epidermis,Medium,Mucin-1,"apical bulky mucin, mechano-cushion in epithelia","Paszek, Nature, 2014 [PMC4487551]",,,Tarbell & Cancel 2016 [J Intern Med]; Couchman 2010 [Annu Rev Cell Dev Biol]
Glycocalyx / proteoglycans,MUC16,Muc16,Curated panel,Not in skin,Low,Mucin-16 / CA125,ovarian / Müllerian mucin,"Felder, 2014",,,Tarbell & Cancel 2016 [J Intern Med]; Couchman 2010 [Annu Rev Cell Dev Biol]
Glycocalyx / proteoglycans,PODXL,Podxl,Curated panel,Dermis,Medium,Podocalyxin,"anti-adhesive sialomucin, podocyte mechanics","Nielsen, J Am Soc Nephrol, 2009 [PMID 19578008]",,,Tarbell & Cancel 2016 [J Intern Med]; Couchman 2010 [Annu Rev Cell Dev Biol]
Glycocalyx / proteoglycans,SDC1,Sdc1,Curated panel,Both,Medium,Syndecan-1,"epithelial syndecan, HSPG","Couchman, Annu Rev CDB, 2010 [PMID 20565253]",,,Tarbell & Cancel 2016 [J Intern Med]; Couchman 2010 [Annu Rev Cell Dev Biol]
Glycocalyx / proteoglycans,SDC4,Sdc4,Curated panel,Both,High,Syndecan-4,"FA-coupled syndecan, mechano-coupled","Bass, 2002",,,Tarbell & Cancel 2016 [J Intern Med]; Couchman 2010 [Annu Rev Cell Dev Biol]
Glycocalyx / proteoglycans,VCAN,Vcan,Curated panel,Dermis,High,Versican,large chondroitin-sulfate proteoglycan,"Wight, Curr Opin Cell Biol, 2002 [PMID 12231358]",Villeneuve 2026,,Tarbell & Cancel 2016 [J Intern Med]; Couchman 2010 [Annu Rev Cell Dev Biol]
Hippo / YAP-TAZ,AMOT,Amot,Curated panel,Both,Medium,Angiomotin,YAP cytoplasmic tether,"Zhao, Genes Dev, 2011 [PMC3012936]",,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,AMOTL2,Amotl2,Curated panel,Both,Medium,Angiomotin-like 2,YAP regulator,"Yi, 2013",McCreery 2025; Kaivola 2026; Cosgrove 2025,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,CCN1,Ccn1,Curated panel,Both,High,CYR61/CCN1,canonical YAP/TAZ target gene,"Zhao, Genes Dev, 2008 [PMC2492741]",Aragona 2020; Villeneuve 2026; Kaivola 2026; Cosgrove 2025; Xiong 2024; Xiong 2025; Urbanska 2024; Huang 2025; Yu 2022,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,CCN2,Ccn2,Curated panel,Dermis,Medium,CTGF/CCN2,canonical YAP/TAZ target gene,"Zhao, Genes Dev, 2008 [PMC2492741]",Aguilera-Stewart 2025; McCreery 2025; Cosgrove 2025; Xiong 2024; Huang 2025; Yu 2022; Rajan 2026,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,CCN3,Ccn3,Hunter 2025 (melanoma confinement),Both,Medium,Cellular communication network factor 3 (NOV/CCN3),CCN-family matricellular protein (with CCN1/CCN2); YAP/TAZ-linked mechano-signalling; HMGB2-induced,"Hunter, Nature, 2025 [PMC12611772]",,,
Hippo / YAP-TAZ,FAT1,Fat1,Curated panel,Both,High,FAT atypical cadherin 1,Hippo upstream regulator,"Sadeqzadeh, 2014",,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,FAT2,Fat2,Curated panel,Both,High,FAT atypical cadherin 2,Hippo regulator,"Sadeqzadeh, 2014",,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,FAT4,Fat4,Curated panel,Both,High,FAT atypical cadherin 4,Hippo upstream regulator (planar polarity),"Cao, Development, 2012 [PMID 22992953]",,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,LATS1,Lats1,Curated panel,Both,High,LATS1,"core Hippo kinase, phosphorylates YAP/TAZ","Yu, Cell, 2013 [PMC3553550]",Huang 2025; Yu 2022,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,LATS2,Lats2,Curated panel,Both,High,LATS2,core Hippo kinase isoform,"Yu, Cell, 2013 [PMC3553550]",Kaivola 2026; Huang 2025,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,NF2,Nf2,Curated panel,Both,High,Merlin/NF2,"Hippo upstream activator, junction-anchored","Striedinger, 2008",Kaivola 2026; Cosgrove 2025,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,STK3,Stk3,Curated panel,Both,High,MST2,Hippo upstream kinase,"Yu, Cell, 2013 [PMC3553550]",,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,STK4,Stk4,Curated panel,Both,High,MST1,Hippo upstream kinase,"Yu, Cell, 2013 [PMC3553550]",,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,TEAD1,Tead1,Literature review,Both,High,TEA domain TF 1,Obligate DNA-binding partner of YAP1/WWTR1 (the transcriptional output),"Zhao, Genes Dev, 2008 [PMC2492741]",Aragona 2020; McCreery 2025; Kaivola 2026; Bonjoch 2025,YAP/TAZ-TEAD upregulated in psoriatic keratinocytes,
Hippo / YAP-TAZ,TEAD2,Tead2,Villeneuve 2024 (HF morphogenesis),Both,Medium,TEA domain TF 2,YAP/TAZ DNA-binding partner (with TEAD1/4),"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]; Zhao, Genes Dev, 2008 [PMC2492741]",,,
Hippo / YAP-TAZ,TEAD3,Tead3,Kaivola 2026 (vocal-fold SCC),Both,Medium,TEA domain TF 3,YAP/TAZ DNA-binding partner (with TEAD1/2/4),"Kaivola, Nat Mater, 2026 [PMID 41721007]",Bonjoch 2025,YAP/TAZ-TEAD effector,
Hippo / YAP-TAZ,TEAD4,Tead4,Literature review,Both,High,TEA domain TF 4,YAP/TAZ DNA-binding partner; epidermal,"Zhao, Genes Dev, 2008 [PMC2492741]",Kaivola 2026; Huang 2025; Yu 2022,YAP/TAZ-TEAD axis in psoriasis,
Hippo / YAP-TAZ,TRAF3IP2,Traf3ip2,Yu 2022 (IL-17A-YAP-AREG),Both,Medium,ACT1 / CIKS (TRAF3IP2),IL-17 receptor adaptor; IL-17A->ACT1->YAP-AREG axis drives psoriatic keratinocyte proliferation,"Yu, J Invest Dermatol, 2022 [PMID 35304250]",Huang 2025; Jiang 2024,TRAF3IP2/ACT1 is a psoriasis-susceptibility gene; couples IL-17A to YAP-AREG keratinocyte proliferation,
Hippo / YAP-TAZ,WWC1,Wwc1,Skin/psoriasis review,Both,Medium,KIBRA (WWC1),upstream Hippo activator; tunes YAP/TAZ mechano-output,"Yu, Genes Dev, 2010 [PMC2912560]",Kaivola 2026,Hippo-pathway regulator upstream of YAP/TAZ,
Hippo / YAP-TAZ,WWTR1,Wwtr1,Curated panel,Both,High,TAZ,"YAP paralogue, mechano-responsive transcription co-activator","Dupont, Nature, 2011 [PMID 21654799]",Aragona 2020; Aguilera-Stewart 2025; Kaivola 2026; Bonjoch 2025; Cosgrove 2025; Xiong 2024; Urbanska 2024; Young 2023; Huang 2025; Yu 2022; Lomakin 2020,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hippo / YAP-TAZ,YAP1,Yap1,Curated panel,Both,High,YAP,the canonical mechano-transcription co-activator,"Dupont, Nature, 2011 [PMID 21654799]",Aragona 2020; Aguilera-Stewart 2025; Bansaccal 2023; Villeneuve 2024; Javed 2025; McCreery 2025; Kaivola 2026; Bonjoch 2025; Cosgrove 2025; Xiong 2024; Urbanska 2024; Young 2023; Hunter 2025; Liu 2026; Huang 2025; Yu 2022; Xue 2025; Jiang 2024; Lomakin 2020; Rajan 2026,,Dupont et al. 2011 [Nature]; Halder et al. 2012 [Nat Rev MCB]; Yu & Guan 2013 [Cell]
Hypoxia / redox / oxidative stress,EPAS1,Epas1,Curated panel,Both,Medium,HIF-2α,"hypoxia-inducible factor 2α; HIF-1α paralogue with distinct target gene set, endothelial-enriched","Keith, Nat Rev Cancer, 2011 [PMC3401912]",Villeneuve 2026; McCreery 2025; Xue 2025,,Keith et al. 2011 [Nat Rev Cancer]; Suzuki & Yamamoto 2017 [J Biol Chem]
Hypoxia / redox / oxidative stress,HIF3A,Hif3a,Xue 2025 (stretched-skin scRNA-seq),Both,Medium,Hypoxia-inducible factor 3-alpha,HIF-family hypoxia TF (with HIF1A/EPAS1); stretch/PIEZO1-induced,"Xue, Nat Commun, 2025 [PMID 40715139]",McCreery 2025,,
Hypoxia / redox / oxidative stress,HMOX1,Hmox1,Xiong 2025 (MechanoGEPred),Both,Medium,Heme oxygenase-1 (HMOX1),oxidative/mechano-stress response enzyme,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Hypoxia / redox / oxidative stress,KEAP1,Keap1,Curated panel,Both,High,KEAP1,NRF2 negative regulator; degrades NRF2 under basal conditions,"Suzuki, 2017",,,Keith et al. 2011 [Nat Rev Cancer]; Suzuki & Yamamoto 2017 [J Biol Chem]
Hypoxia / redox / oxidative stress,NDRG1,Ndrg1,Curated panel,Both,High,NDRG1,N-Myc downstream-regulated; hypoxia / iron / mechanical stress responsive,"Ellen, Carcinogenesis, 2008 [PMID 17916902]",,,Keith et al. 2011 [Nat Rev Cancer]; Suzuki & Yamamoto 2017 [J Biol Chem]
Hypoxia / redox / oxidative stress,NFE2L2,Nfe2l2,Curated panel,Both,High,NRF2,master antioxidant TF; activated by oxidative / mechanical stress,"Suzuki, 2017",Suriyagandhi 2024,,Keith et al. 2011 [Nat Rev Cancer]; Suzuki & Yamamoto 2017 [J Biol Chem]
Hypoxia / redox / oxidative stress,NFE2L3,Nfe2l3,Xiong 2024 (MechanoBase),Both,Medium,NRF3 (NFE2L3),bZIP oxidative-stress TF (with NFE2L2/KEAP1),"Xiong, Database (Oxford), 2024 [PMC11131424]",,,
Intermediate filaments (extra),DES,Des,Curated panel,Dermis,High,Desmin,smooth-muscle / cardiac intermediate filament; mechanical-load responsive,"Capetanaki, Exp Cell Res, 2007 [PMID 17509566]",,,Capetanaki et al. 2007 [Exp Cell Res]; Snider & Omary 2014 [Nat Rev MCB]
